Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200,MidPrice,TypicalPrice,Range,Trend,Return,R_CloToClo,Diff-20,Diff-200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ZScore_20,Stoch_%K,Stoch_%D,Volatility_20,TrueRange,ATR,Momentum_10,ROC_10,DayOfWeek,DayOfMonth,Month
2017-07-03,21390.05,21555.5,21383.9,21476.1,37243,21369.65,21279.83,21341.73,20032.74,21469.7,21471.833333333332,171.59999999999854,86.04999999999927,0.00402289849719843,0.005944016637625671,48.31999999999971,1357.3099999999977,58.16315677515418,89.82549921960162,103.6385558488456,-13.813056629243974,21551.86481469532,21131.59018530468,420.27462939063844,1.2789018475355156,78.52603110209562,51.02850616853997,105.06865734765942,206.29999999999927,134.04428571428616,-39.900000000001455,-0.0018544339096487011,0,3,7
2017-07-04,21463.95,21522.35,21453.91,21480.9,18588,21386.77,21294.72,21358.89,20048.22,21488.129999999997,21485.719999999998,68.43999999999869,16.950000000000728,0.000789696211554757,0.0002235042675347021,105.06000000000131,1415.7299999999996,56.25799277175435,92.04626033328532,101.32009674573355,-9.273836412448233,21554.407861886935,21163.372138113064,391.0357237738717,1.2480701131087262,79.82420554428707,68.65157395518237,97.75893094346783,68.43999999999869,131.79000000000036,18.900000000001455,0.0008806262230920443,1,4,7
2017-07-05,21490.65,21504.2,21393.95,21470.8,66149,21399.7,21307.76,21374.01,20064.26,21449.075,21456.316666666666,110.25,-19.850000000002183,-0.0009236574975629952,-0.0004701851412185487,116.64000000000306,1426.390000000003,56.64222135139652,91.93151464932453,99.44238032645175,-7.510865677127228,21553.645339219056,21194.36466078094,359.2806784381173,1.0776532756595125,77.09263015551028,78.48095560063095,89.82016960952897,110.25,131.67928571428612,62.64999999999782,0.0029264555788331924,2,5,7
2017-07-06,21457.5,21462.0,21298.5,21315.65,70070,21386.77,21308.35,21380.76,20080.32,21380.25,21358.716666666667,163.5,-141.84999999999854,-0.006610742164744194,-0.0072260931125062156,76.7400000000016,1377.1800000000003,47.10614852016198,78.41732341944953,95.23736894505132,-16.820045525601785,21538.598817200356,21222.926182799645,315.6726344007111,-0.825063599492702,35.13184584178538,64.01622718052754,78.91815860017857,172.29999999999927,136.6757142857145,-79.54999999999927,-0.0037181236912952097,3,6,7
2017-07-07,21334.5,21423.0,21309.65,21409.3,52448,21390.23,21315.83,21388.35,20096.2,21366.325,21380.649999999998,113.34999999999854,74.79999999999927,0.003506058262438739,0.004393485537621311,-53.849999999998545,1238.2999999999993,44.5455474900317,74.4062924169084,91.07115363942275,-16.664861222514347,21535.466506904082,21241.23849309592,294.22801380816236,0.2847791374978505,60.45977011494234,57.561415370745955,73.55700345204012,113.34999999999854,134.33285714285714,18.950000000000728,0.0008859135077266491,4,7,7
2017-07-10,21436.95,21441.2,21361.35,21406.65,36910,21392.76,21322.55,21396.96,20111.53,21401.275,21403.06666666667,79.85000000000218,-30.299999999999272,-0.0014134473420892091,-0.00012377798433382825,39.9900000000016,1325.420000000002,47.01375775559762,70.2044157919263,86.89780606992346,-16.693390277997167,21525.091879434338,21268.82812056566,256.26375886867754,0.1512504154747522,59.74306964165016,51.77822853279258,64.06593971716958,79.85000000000218,135.04000000000036,2.7000000000007276,0.00012614494053671062,0,10,7
2017-07-11,21431.5,21436.0,21270.91,21406.3,48271,21394.84,21328.76,21401.15,20127.82,21353.455,21371.070000000003,165.09000000000015,-25.200000000000728,-0.0011758393019620991,-1.635005944422563e-05,30.349999999998545,1303.6800000000003,49.89407386200961,66.08437666076861,82.7351201880925,-16.650743527323883,21524.426440533476,21277.863559466525,246.56288106695138,0.08362978202869237,59.64841108857316,59.950416948388515,61.64072026673724,165.09000000000015,139.02142857142877,89.95000000000073,0.004219765579003945,1,11,7
2017-07-12,21413.25,21576.9,21409.4,21529.65,47053,21415.58,21343.64,21409.21,20143.92,21493.15,21505.31666666667,167.5,116.40000000000146,0.005435886658961225,0.00576232230698448,4.040000000000873,1269.3300000000017,56.83423982107452,71.94321350489554,80.5767388514531,-8.633525346557562,21544.023030765653,21274.396969234345,269.62606153130764,1.786770897679225,87.92023520388602,69.10390531136974,67.40651538282702,170.60000000000218,146.59642857142873,87.45000000000073,0.004078406133699001,2,12,7
2017-07-13,21540.35,21565.0,21504.75,21548.45,37683,21436.02,21358.81,21419.03,20160.39,21534.875,21539.399999999998,60.25,8.100000000002183,0.00037603845805672534,0.0008732143810976645,121.31999999999971,1379.9599999999991,57.92401764234165,77.21331971035033,79.90405502323256,-2.690735312882225,21564.507411673472,21273.54258832653,290.96482334694156,1.7792528802792846,92.72657548255128,80.09840725833678,72.74120583673512,60.25,144.16071428571428,270.15000000000146,0.012696033047752945,3,13,7
2017-07-14,21557.6,21673.45,21516.65,21633.5,36278,21466.4,21379.16,21431.95,20177.74,21595.050000000003,21607.86666666667,156.79999999999927,75.90000000000146,0.0035208000890637856,0.003946919616028,125.64999999999782,1379.859999999997,60.73616762546176,87.24701181194541,81.37264638097513,5.874365430970286,21604.396537866443,21259.503462133558,344.89307573288534,2.3375360560279637,91.80848882509726,90.81843317051148,86.22326893322075,156.79999999999927,146.38571428571439,284.2999999999993,0.01331665823543736,4,14,7
