Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200,MidPrice,TypicalPrice,Range,Trend,Return,R_CloToClo,Diff-20,Diff-200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Volatility_20,TrueRange,ATR
2023-03-10,3915.92,3940.59,3845.81,3877.76,330262,3979.98,4005.97,4020.06,3938.23,3893.2,3888.0533333333333,94.7800000000002,-38.159999999999854,-0.009744836462440462,-0.010364003399372601,-104.13999999999987,-22.309999999999945,28.75230049446776,-25.992975993971413,-11.277710129273698,-14.715265864697715,4165.775217180758,3874.350782819242,291.424434361516,72.8561085903789,94.7800000000002,63.90285714285723
2023-03-13,3888.96,3937.06,3805.56,3861.07,383407,3961.69,3995.24,4006.12,3936.64,3871.31,3867.896666666667,131.5,-27.889999999999873,-0.007171583148193829,-0.004304031193266278,-117.15999999999985,-47.679999999999836,32.5566798061714,-33.55321234091389,-15.732810571601737,-17.82040176931215,4156.822329063555,3855.418670936445,301.40365812711025,75.35091453177745,131.5,67.95642857142866
2023-03-14,3861.94,3938.26,3852.69,3920.69,312020,3955.38,3989.72,3995.58,3935.69,3895.4750000000004,3903.8800000000006,85.57000000000016,58.75,0.015212561562323599,0.015441315490265728,-133.63999999999987,-73.75,41.08693745065359,-34.33809024987568,-19.453866507256528,-14.884223742619149,4138.674324863063,3852.493675136937,286.1806497261259,71.54516243153142,85.57000000000016,71.19000000000008
2023-03-15,3919.09,3929.71,3832.56,3892.32,336490,3945.68,3982.5,3982.72,3934.55,3881.135,3884.8633333333332,97.15000000000009,-26.769999999999982,-0.006830667323281675,-0.007235971219351711,-63.629999999999654,-15.460000000000036,37.82006992860582,-36.82483971986176,-22.928061149777577,-13.89677857008418,4113.193360021216,3852.239639978784,260.953720042432,65.23843001060798,97.15000000000009,73.82928571428582
2023-03-16,3890.92,3966.11,3862.11,3962.62,321816,3948.28,3981.03,3976.55,3933.6,3914.11,3930.28,104.0,71.69999999999982,0.01842751842751838,0.018061207711596028,-85.63000000000011,-42.679999999999836,49.384999901599976,-32.74551420808575,-24.89155176143921,-7.853962446646541,4097.794700622198,3855.2962993777996,242.4984012443988,60.62460031109977,104.0,75.89714285714298
2023-03-17,3959.27,3976.21,3898.86,3914.96,285395,3943.16,3976.14,3968.48,3932.59,3937.535,3930.0099999999998,77.34999999999991,-44.309999999999945,-0.011191457011014642,-0.0120273960157673,-9.210000000000036,26.679999999999836,43.34380285093015,-32.9782305255485,-26.50888751426107,-6.469343011287428,4083.0537587025647,3853.8972412974344,229.15651740513022,57.28912935128262,77.34999999999991,77.78642857142869
2023-03-20,3936.57,3958.41,3866.26,3956.09,320516,3945.15,3974.65,3962.81,3932.25,3912.335,3926.92,92.14999999999964,19.519999999999982,0.004958631498995314,0.010505854465945985,-26.23999999999978,4.320000000000164,49.2213570634038,-29.50371219278486,-27.10785244996583,-2.395859742819031,4067.1191591326265,3858.499840867374,208.61931826525233,52.1548295663131,92.14999999999964,81.58642857142864
2023-03-21,3955.79,4012.56,3950.66,4008.37,215471,3954.87,3977.15,3963.23,3932.77,3981.6099999999997,3990.53,61.90000000000009,52.57999999999993,0.013291908822257989,0.013215068413509279,-7.440000000000055,23.019999999999982,54.288136156633314,-22.274802248964534,-26.14124240976557,3.8664401608010373,4068.2283036708363,3858.2256963291634,210.00260734167296,52.50065183541817,61.90000000000009,82.62928571428577
2023-03-22,4006.82,4041.99,3934.66,3940.17,225453,3952.61,3974.41,3960.14,3933.68,3988.325,3972.273333333333,107.32999999999993,-66.65000000000009,-0.01663413879335735,-0.01701439737349586,46.68000000000029,73.14000000000033,47.020961318803444,-21.797738307235704,-25.2725415892596,3.4748032820238954,4063.968537263348,3856.3054627366523,207.6630745266957,51.91576863167383,107.32999999999993,85.3064285714286
2023-03-23,3941.37,4008.56,3918.01,3956.49,267155,3953.21,3973.08,3957.53,3934.76,3963.285,3961.02,90.54999999999973,15.11999999999989,0.0038362295344004475,0.004141953265975662,-16.16000000000031,6.609999999999673,42.21522610188892,-19.873682645685676,-24.192769800544816,4.31908715485914,4058.8159215740243,3856.2400784259753,202.575843148049,50.64396078701232,90.54999999999973,86.10428571428572
