Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200
2022-05-25,31999.75,32262.59,31731.25,32109.5,732007,32066.36,32628.47,32404.09,34753.27
2022-05-26,32147.59,32780.75,32045.25,32589.5,576094,32146.84,32625.59,32339.59,34739.73
2022-05-27,32580.25,33283.6,32527.6,33281.5,496033,32321.41,32674.17,32349.82,34731.57
2022-05-30,33260.25,33479.75,33213.75,33306.75,210467,32473,32721.03,32362.83,34723.51
2022-05-31,33277.6,33296.6,32755.19,33062.5,718351,32563.69,32746.32,32357.83,34713.2
2022-06-01,33092.8,33275.07,32586.07,32794.5,637342,32599.2,32749.89,32297.03,34700.26
2022-06-02,32803.59,33285.59,32514.52,33279.1,542125,32703.8,32789.09,32309.01,34689.7
2022-06-03,33265.6,33326.59,32836.59,32924.9,592738,32737.81,32799.15,32313.03,34677.11
2022-06-06,32959.25,33243.07,32818.04,32924.5,536276,32766.54,32808.44,32345.48,34665.48
2022-06-07,32933.5,33213.6,32619.95,33121.4,514039,32821.13,32831.62,32394.13,34653.75
2022-06-08,33133.8,33183.95,32822.95,32928.4,541388,32837.63,32838.79,32444.57,34641.17
2022-06-09,32925.15,33121.95,32269.25,32332.4,623245,32759.91,32801.28,32479.97,34625.74
2022-06-10,32344.8,32353.6,31378.6,31448.9,527837,32558.21,32701.1,32443.99,34606.45
2022-06-13,31266.6,31302.6,30386.15,30552.1,834260,32249.58,32541.92,32361.37,34581.98
2022-06-14,30611.6,30888.6,30160.6,30403.4,815709,31965.55,32383.51,32246.67,34557.18
2022-06-15,30423.6,31039.6,30197.95,30709.4,763483,31772.3,32259.5,32210.31,34533.48
2022-06-16,30745.6,30966.6,29760.95,30012.4,817925,31501.54,32093.05,32148.31,34508.09
2022-06-17,30036.8,30243.95,29671,29968.4,826679,31265.68,31935.67,32082.31,34482.77
2022-06-20,30024.6,30264.5,29779.6,30182.9,269462,31099.09,31805.83,31995.8,34459.26
2022-06-21,30175.6,30677.05,30152.6,30571.4,518601,31017.91,31714.39,31925.19,34438.9
2022-06-22,30553.6,30811.5,30038.4,30506.4,679051,30939.22,31624.91,31845.04,34416.75
2022-06-23,30527.15,30737.5,30287.6,30596.4,677600,30886.48,31548.73,31745.38,34396.68
2022-06-24,30609.6,31546.6,30578.6,31519.4,434307,30983.85,31546.55,31657.28,34379.95
2022-06-27,31538.8,31737,31374.75,31500.4,495450,31063.32,31543.14,31566.96,34363.76
2022-06-28,31487.2,31910.8,30946.05,31002.4,561204,31053.95,31503.08,31463.96,34346.26
2022-06-29,31005.15,31190.2,30903.9,31063.4,580569,31055.4,31470.51,31377.4,34331.9
2022-06-30,31066.2,31072.2,30451.4,30752.4,643721,31008.79,31417.32,31251.07,34316.23
2022-07-01,30759.8,31165.2,30467.8,31097.9,673299,31022.5,31393.66,31159.72,34300.28
2022-07-04,31092.15,31119.25,30860.2,31019.15,192390,31021.98,31365.92,31064.45,34281.43
2022-07-05,31038.5,31258.2,30371.2,30970.4,669768,31014.05,31336.62,30956.9,34262.18
2022-07-06,30981.5,31249.2,30785.2,31101.4,534058,31027.48,31319.2,30865.55,34243.34
2022-07-07,31095.2,31446.3,30939.2,31364.4,391687,31079.32,31322.54,30817.15,34228.38
2022-07-08,31367.2,31531.75,31229.3,31393.9,444736,31127.71,31327.83,30814.4,34213.1
2022-07-11,31329.8,31389.3,31083.7,31219.4,403796,31141.82,31319.8,30847.76,34199.86
2022-07-12,31207.2,31369.75,30870.65,31013.4,408124,31122.06,31297.1,30878.26,34183.12
2022-07-13,31019.2,31328.65,30521.75,30753.2,491474,31065.32,31256.81,30880.45,34166.83
2022-07-14,30737.8,30820.2,30148.75,30653.4,499982,31001.94,31212.12,30912.5,34148.39
2022-07-15,30676.8,31301.75,30535.2,31293.4,469391,31046.78,31218.14,30978.75,34132.76
2022-07-18,31339.8,31654.75,30988.2,31104.4,403725,31055.65,31209.71,31024.83,34114.52
2022-07-19,31093.8,31879.2,31065.2,31854.2,395212,31178.5,31257.45,31088.97,34100.11
2022-07-20,31850.2,32018.2,31656.75,31837.4,440909,31279.87,31300.41,31155.52,34086.97
2022-07-21,31833.8,32060.55,31535.75,32024.2,484467,31394.38,31354.02,31226.91,34075.56
2022-07-22,32012.8,32226.75,31736.75,31892.9,448919,31471.08,31393.94,31245.58,34063.19
2022-07-25,31878.2,32101.75,31809.2,31905.2,444834,31537.87,31431.81,31265.82,34048
